city,bedrooms,city_center_dist_km,daily_price,weekends
Amsterdam,2,1.735,796.52,1
London,3,4.812,608.2,0
London,1,15.814,277.05,1
London,0,4.953,430.87,1
London,1,4.424,461.44,1
Amsterdam,1,3.928,540.62,0
London,2,2.935,773.3,1
London,1,16.698,103.01,1
London,2,2.842,611.49,0
Barcelona,3,2.393,826.22,0
London,2,5.645,452.03,1
London,0,3.271,440.27,0
Barcelona,1,1.078,691.93,0
London,3,3.93,1301.54,1
London,2,12.276,776.36,0
Amsterdam,1,0.811,540.62,0
Amsterdam,1,3.109,669.74,1
Barcelona,1,0.595,451.28,1
London,2,4.345,786.24,1
London,1,4.575,253.53,1
London,1,5.142,444.74,0
London,2,1.191,1497.68,0
London,1,4.575,539.76,1
London,2,6.298,338.67,1
London,2,5.94,515.53,0
London,1,3.182,463.32,1
Amsterdam,2,1.026,909.47,1
Amsterdam,2,1.994,700.44,1
London,1,2.498,575.51,0
London,2,8.288,413.7,1
Amsterdam,2,0.613,1351.91,0
London,1,4.062,448.74,1
London,2,1.291,1095.51,1
London,2,4.464,374.42,0
London,1,14.058,177.33,0
Barcelona,2,1.359,738.24,1
Amsterdam,1,2.938,508.28,1
Barcelona,1,3.392,291.85,0
Amsterdam,2,11.038,491.65,1
London,1,2.884,502.6,0
London,2,5.306,867.85,0
Barcelona,2,2.566,330.95,0
London,0,4.185,353.96,0
London,1,7.6,302.69,0
Barcelona,2,4.291,854.14,0
London,2,2.077,955.81,0
London,1,3.739,470.38,0
London,0,3.306,270.7,1
Amsterdam,0,0.139,1567.27,1
London,2,1.945,1008.96,1
London,1,0.783,616.67,0
London,2,2.866,639.01,1
London,2,6.011,461.44,0
Barcelona,2,2.127,798.75,0
London,1,1.728,460.03,1
London,1,1.77,494.84,0
London,2,0.321,1846.7,0
London,2,6.248,581.86,0
London,1,3.247,476.96,1
London,2,6.148,376.3,1
Barcelona,1,1.172,710.55,1
London,2,6.973,743.67,1
Amsterdam,1,3.41,516.25,1
Barcelona,1,3.177,236.23,1
Barcelona,2,1.62,279.98,0
Amsterdam,1,4.298,351.04,0
London,1,3.974,782.0,0
London,2,4.4,514.12,0
London,0,4.225,249.54,1
Amsterdam,2,3.695,716.61,1
London,1,4.847,271.41,0
London,1,2.288,489.66,0
London,2,8.075,886.66,1
Amsterdam,1,1.811,774.26,0
Barcelona,0,0.781,518.3,0
